"","Mean_Income","Median_Income","Richest_to_Poorest_Ratio","Mean_to_Median_Ratio","Extreme_Poverty_Share"
"Mean_Income",1,0.993857666578025,-0.417494870604384,-0.558805747767012,-0.481239337761109
"Median_Income",0.993857666578025,1,-0.456562915494004,-0.620050428926472,-0.483408102512114
"Richest_to_Poorest_Ratio",-0.417494870604384,-0.456562915494004,1,0.677140698395789,0.427834728092769
"Mean_to_Median_Ratio",-0.558805747767012,-0.620050428926472,0.677140698395789,1,0.507916731349379
"Extreme_Poverty_Share",-0.481239337761109,-0.483408102512114,0.427834728092769,0.507916731349379,1
